公司,事業統編,公司總排放量,代表縣市,代表縣市排放量,在該縣市的排放量佔比,排碳大戶 tag,公司簡稱
中國石油化學工業開發股份有限公司,03084741,"843,461",高雄市,"783,572",93%,TRUE,中石化
亞洲水泥股份有限公司,03244509,"2,782,856",花蓮縣,"2,782,856",100%,TRUE,亞泥
萬洲化學股份有限公司,03244705,"39,754",桃園市,"39,754",100%,TRUE,萬洲化學
信大水泥股份有限公司,03279507,"592,622",宜蘭縣,"592,622",100%,TRUE,信大
遠東新世紀股份有限公司,03522600,"569,532",新竹縣,"402,488",71%,TRUE,遠東新
台榮產業股份有限公司,03543210,"38,842",雲林縣,"38,842",100%,TRUE,台榮
台橡股份有限公司,03553737,"144,345",高雄市,"144,345",100%,TRUE,台橡
台灣中油股份有限公司,03707901,"6,542,927",高雄市,"4,886,391",75%,TRUE,中油
台灣糖業股份有限公司,03794905,"62,529",高雄市,"62,529",100%,TRUE,台糖公司
台灣肥料股份有限公司,03795101,"413,921",台中市,"413,921",100%,TRUE,台肥
國喬石油化學股份有限公司,04212250,"437,353",高雄市,"437,353",100%,TRUE,國喬
台燿科技股份有限公司,04226091,"45,464",新竹縣,"45,464",100%,TRUE,台燿
和益化學工業股份有限公司,04312878,"67,653",高雄市,"67,653",100%,TRUE,和益
合眾紙業股份有限公司,04380087,"56,008",雲林縣,"56,008",100%,TRUE,合眾紙業
台灣康寧顯示玻璃股份有限公司,04388145,"418,258",台中市,"346,827",83%,TRUE,台灣康寧
華通電腦股份有限公司,04401392,"145,463",桃園市,"145,463",100%,TRUE,華通
台灣國際造船股份有限公司,04695235,"34,260",高雄市,"34,260",100%,TRUE,台船
聯成化學科技股份有限公司,04748660,"51,544",高雄市,"51,544",100%,TRUE,聯成
金車股份有限公司,05007903,"31,717",桃園市,"31,717",100%,TRUE,金車
超豐電子股份有限公司,05126366,"101,003",苗栗縣,"101,003",100%,TRUE,超豐
聯華氣體工業股份有限公司,05258865,"55,956",高雄市,"55,956",100%,TRUE,聯華氣體
燿華電子股份有限公司,05637971,"87,483",宜蘭縣,"45,124",52%,TRUE,燿華
大同染整股份有限公司,07014916,"34,252",桃園市,"34,252",100%,TRUE,大同染整
中國人造纖維股份有限公司,07066907,"410,657",高雄市,"410,657",100%,TRUE,中纖
東明纖維工業股份有限公司,07205416,"18,350",桃園市,"18,350",100%,TRUE,東明纖維
東培工業股份有限公司,07220508,"24,322",桃園市,"24,322",100%,TRUE,東培
宏洲纖維工業股份有限公司,07220710,"26,587",桃園市,"26,587",100%,TRUE,宏洲
新光合成纖維股份有限公司,07435515,"287,173",桃園市,"287,173",100%,TRUE,新纖
新隆纖維染整股份有限公司,07472834,"42,063",桃園市,"42,063",100%,TRUE,新隆纖維
環球水泥股份有限公司,07568009,"34,845",桃園市,"34,845",100%,TRUE,環泥
新瑞倡企業股份有限公司,07620770,"6,684",桃園市,"6,684",100%,TRUE,新瑞倡
力麗企業股份有限公司,07663290,"156,729",彰化縣,"156,729",100%,TRUE,力麗
中鴻鋼鐵股份有限公司,07838854,"260,634",高雄市,"260,634",100%,TRUE,中鴻
三福氣體股份有限公司,11072509,"554,928",台南市,"286,099",52%,TRUE,三福氣體
東南實業股份有限公司,11384405,"54,160",宜蘭縣,"54,160",100%,TRUE,東鹼
長春人造樹脂廠股份有限公司,11384708,"1,152,774",高雄市,"851,396",74%,TRUE,長春樹脂
長春石油化學股份有限公司,11384806,"2,475,902",苗栗縣,"1,377,248",56%,TRUE,長春石化
南港輪胎股份有限公司,11520909,"38,973",新竹縣,"38,973",100%,TRUE,南港
華夏海灣塑膠股份有限公司,11686106,"104,627",苗栗縣,"104,627",100%,TRUE,華夏
義美食品股份有限公司,11768704,"53,861",桃園市,"53,861",100%,TRUE,義美
台灣史谷脫紙業股份有限公司,11820053,"29,187",台南市,"29,187",100%,TRUE,史谷脫
台豐印刷電路工業股份有限公司,11833698,"30,601",新竹縣,"30,601",100%,TRUE,台豐印刷
台達化學工業股份有限公司,11893409,"38,292",高雄市,"38,292",100%,TRUE,台達化
台灣紙業股份有限公司,11912102,"27,017",台南市,"27,017",100%,TRUE,台紙
台灣水泥股份有限公司,11913502,"3,643,800",花蓮縣,"2,460,459",68%,TRUE,台泥
台灣玻璃工業股份有限公司,11914002,"598,880",彰化縣,"229,941",38%,TRUE,台玻
台灣聚合化學品股份有限公司,11917107,"142,391",高雄市,"142,391",100%,TRUE,台聚
中環股份有限公司,12205020,"54,694",桃園市,"54,694",100%,TRUE,中環
南帝化學工業股份有限公司,12209807,"21,690",高雄市,"21,690",100%,TRUE,南帝
大連化學工業股份有限公司,12233428,"1,384,651",雲林縣,"704,354",51%,TRUE,大連化工
國瑞汽車股份有限公司,12488060,"38,699",桃園市,"38,699",100%,TRUE,國瑞
環泰企業股份有限公司,12529007,"32,770",桃園市,"32,770",100%,TRUE,環泰
曜智實業股份有限公司,12617727,"30,521",嘉義縣,"30,521",100%,TRUE,曜智
台合科技股份有限公司,12691423,"32,001",高雄市,"32,001",100%,TRUE,台合
群創光電股份有限公司,12800225,"2,412,736",台南市,"1,501,342",62%,TRUE,群創
敦南科技股份有限公司,23528103,"18,620",新竹市,"18,620",100%,TRUE,敦南
香榮實業股份有限公司,13035951,"19,430",桃園市,"19,430",100%,TRUE,香榮實業
鉅輝鋼鐵股份有限公司,13079654,"24,461",桃園市,"24,461",100%,TRUE,鉅輝鋼鐵
福懋興業股份有限公司,14001199,"161,770",雲林縣,"161,770",100%,TRUE,福懋
中美和石油化學股份有限公司,14040691,"185,234",台中市,"185,234",100%,TRUE,中美和
東聯化學股份有限公司,14057995,"343,759",高雄市,"343,759",100%,TRUE,東聯
義芳化學工業股份有限公司,15395706,"404,894",桃園市,"404,894",100%,TRUE,義芳化學
力成科技股份有限公司,16082267,"306,448",新竹縣,"265,914",87%,TRUE,力成
中華凸版電子股份有限公司,16083358,"19,021",桃園市,"19,021",100%,TRUE,中華凸版
南亞電路板股份有限公司,16096804,"442,870",桃園市,"380,434",86%,TRUE,南電
頎邦科技股份有限公司,16130009,"135,476",高雄市,"46,894",35%,TRUE,頎邦
南茂科技股份有限公司,16130042,"224,960",新竹縣,"114,200",51%,TRUE,南茂
宏捷科技股份有限公司,16130423,"46,239",台南市,"46,239",100%,TRUE,宏捷科
合晶科技股份有限公司,16138282,"63,726",桃園市,"63,726",100%,TRUE,合晶
凌巨科技股份有限公司,16432742,"224,923",桃園市,"224,923",100%,TRUE,凌巨
能元科技股份有限公司,16441469,"28,686",台南市,"28,686",100%,TRUE,能元科技
台塑旭彈性纖維股份有限公司,16446128,"43,545",雲林縣,"43,545",100%,TRUE,台塑旭
金居開發股份有限公司,16447610,"104,357",雲林縣,"104,357",100%,TRUE,金居
瀚宇彩晶股份有限公司,16450500,"265,840",台南市,"265,840",100%,TRUE,彩晶
艾克爾國際科技股份有限公司,16631664,"78,213",桃園市,"43,667",56%,TRUE,艾克爾
豐年豐和企業股份有限公司,16635562,"28,842",台南市,"28,842",100%,TRUE,豐年豐和
旭德科技股份有限公司,16638110,"30,641",新竹縣,"30,641",100%,TRUE,旭德
精材科技股份有限公司,16741846,"118,493",桃園市,"118,493",100%,TRUE,精材
富喬工業股份有限公司,16834268,"151,359",雲林縣,"151,359",100%,TRUE,富喬
艾克爾先進科技股份有限公司,16847968,"11,571",新竹縣,"11,571",100%,TRUE,艾克爾先進
東隆興業股份有限公司,18770509,"36,235",彰化縣,"22,910",63%,TRUE,東隆興
華新科技股份有限公司,19004316,"55,942",高雄市,"55,942",100%,TRUE,華新科
台灣氯乙烯工業股份有限公司,19084015,"176,354",高雄市,"176,354",100%,TRUE,台氯
亞洲聚合股份有限公司,20747385,"107,965",高雄市,"107,965",100%,TRUE,亞聚
台灣苯乙烯工業股份有限公司,20844865,"200,747",高雄市,"200,747",100%,TRUE,台苯
大統益股份有限公司,20927014,"100,777",台南市,"100,777",100%,TRUE,大統益
立安東化工股份有限公司,20939460,"60,074",苗栗縣,"60,074",100%,TRUE,立安東
台灣茂矽電子股份有限公司,22099110,"125,937",新竹市,"125,937",100%,TRUE,茂矽
台灣積體電路製造股份有限公司,22099131,"11,418,278",台南市,"5,854,438",51%,TRUE,台積電
元隆電子股份有限公司,22099174,"69,000",新竹市,"69,000",100%,TRUE,元隆
華邦電子股份有限公司,22099218,"397,007",台中市,"283,388",71%,TRUE,華邦電
台灣高技股份有限公司,22099343,"5,785",新竹縣,"5,785",100%,TRUE,台灣高技
聯亞科技股份有限公司,22099456,"553,706",新竹市,"233,810",42%,TRUE,聯亞
旺宏電子股份有限公司,22099548,"355,303",新竹市,"355,303",100%,TRUE,旺宏
元太科技工業股份有限公司,22099890,"19,566",新竹市,"19,566",100%,TRUE,元太
台灣福雷電子股份有限公司,22100242,"118,894",高雄市,"118,894",100%,TRUE,福雷電子
華東科技股份有限公司,22101116,"56,593",高雄市,"56,593",100%,TRUE,華東
年興紡織股份有限公司,22266307,"20,256",苗栗縣,"20,256",100%,TRUE,年興
大統新創股份有限公司,22267777,"13,794",桃園市,"13,794",100%,TRUE,大統新創
台灣志氯化學股份有限公司,22318516,"136,443",高雄市,"136,443",100%,TRUE,台灣志氯
亞東石化股份有限公司,22318678,"338,343",桃園市,"338,343",100%,TRUE,亞東石化
永豐餘消費品實業股份有限公司,22327037,"109,561",台中市,"63,577",58%,TRUE,永豐實
碁富食品股份有限公司,22360437,"23,489",彰化縣,"23,489",100%,TRUE,碁富食品
獻麒紡織工業股份有限公司,22474430,"17,962",彰化縣,"17,962",100%,TRUE,獻麒紡織
大立光電股份有限公司,22480876,"164,275",台中市,"164,275",100%,TRUE,大立光
京元電子股份有限公司,22507241,"280,120",苗栗縣,"280,120",100%,TRUE,京元電子
亞東工業氣體股份有限公司,22522453,"356,607",台中市,"209,759",59%,TRUE,亞東氣體
先豐通訊股份有限公司,22554807,"57,829",桃園市,"57,829",100%,TRUE,先豐
國巨股份有限公司,22636630,"75,048",高雄市,"75,048",100%,TRUE,國巨
台灣必成股份有限公司,22662355,"154,669",嘉義縣,"154,669",100%,TRUE,台灣必成
科德寶遠東股份有限公司,22663158,"34,067",桃園市,"34,067",100%,TRUE,科德寶
福隆玻璃纖維股份有限公司,22663571,"49,850",嘉義縣,"49,850",100%,TRUE,福隆玻纖
宏遠興業股份有限公司,22817999,"95,849",台南市,"95,849",100%,TRUE,宏遠
廣達電腦股份有限公司,22822281,"27,466",桃園市,"27,466",100%,TRUE,廣達
聯成鋼鐵股份有限公司,22822748,"97,280",桃園市,"97,280",100%,TRUE,聯成鋼鐵
台灣寶理塑膠股份有限公司,22853994,"76,560",高雄市,"76,560",100%,TRUE,台灣寶理
遠東氣體工業股份有限公司,22956507,"33,414",高雄市,"33,414",100%,TRUE,遠東氣體
矽格股份有限公司,23218022,"40,327",新竹縣,"40,327",100%,TRUE,矽格
燁聯鋼鐵股份有限公司,23218395,"485,004",高雄市,"485,004",100%,TRUE,燁聯
中鋼碳素化學股份有限公司,23221384,"83,694",高雄市,"83,694",100%,TRUE,中碳
銓盟企業股份有限公司,23313356,"25,521",桃園市,"25,521",100%,TRUE,銓盟
泓達化工股份有限公司,23418128,"26,362",高雄市,"26,362",100%,TRUE,泓達化工
上銀科技股份有限公司,23503047,"37,751",雲林縣,"37,751",100%,TRUE,上銀
合興石化工業股份有限公司,23531178,"50,724",高雄市,"50,724",100%,TRUE,合興石化
欣興電子股份有限公司,23535435,"537,380",桃園市,"385,703",72%,TRUE,欣興
福懋科技股份有限公司,23826736,"112,003",雲林縣,"112,003",100%,TRUE,福懋科
三義化學工業股份有限公司,23827741,"80,684",桃園市,"80,684",100%,TRUE,三義化學
日皓造紙工業股份有限公司,24001900,"42,096",桃園市,"42,096",100%,TRUE,日皓造紙
三陽工業股份有限公司,24004006,"36,958",新竹縣,"36,958",100%,TRUE,三陽工業
友達晶材股份有限公司,24410807,"37,147",台中市,"37,147",100%,TRUE,友達晶材
晶碩光學股份有限公司,25021158,"39,960",桃園市,"39,960",100%,TRUE,晶碩
台群工業股份有限公司,25049986,"24,342",桃園市,"24,342",100%,TRUE,台群
紡安股份有限公司,25131486,"33,381",苗栗縣,"33,381",100%,TRUE,紡安
尚承鋼鐵股份有限公司,27208480,"170,589",高雄市,"170,589",100%,TRUE,尚承
新科光電材料股份有限公司,27366467,"60,631",桃園市,"60,631",100%,TRUE,新科光電
永豐餘工業用紙股份有限公司,27719048,"614,964",桃園市,"614,964",100%,TRUE,永豐餘
聯合再生能源股份有限公司,27763753,"40,135",台南市,"25,128",63%,TRUE,聯合再生
誠美材料科技股份有限公司,27790294,"46,383",台南市,"46,383",100%,TRUE,誠美材
欣建工業股份有限公司,28042430,"28,783",高雄市,"28,783",100%,TRUE,欣建
易昇鋼鐵股份有限公司,28098406,"181,447",台南市,"181,447",100%,TRUE,易昇
新唐科技股份有限公司,28112646,"53,757",新竹市,"53,757",100%,TRUE,新唐
力晶積成電子製造股份有限公司,28112667,"582,944",新竹市,"541,999",93%,TRUE,力積電
環球晶圓股份有限公司,28113286,"145,193",新竹縣,"124,039",85%,TRUE,環球晶
晶成半導體股份有限公司,28114454,"7,235",新竹市,"7,235",100%,TRUE,晶成
達輝光電股份有限公司,28230046,"37,058",苗栗縣,"37,058",100%,TRUE,達輝光電
晶兆成科技股份有限公司,28438025,"72,087",新竹縣,"72,087",100%,TRUE,晶兆成
藍海氣體工業股份有限公司,28438186,"43,582",台中市,"43,582",100%,TRUE,藍海氣體
台灣美光記憶體股份有限公司,28518076,"1,156,889",台中市,"1,156,889",100%,TRUE,台灣美光
餘慶堂興業股份有限公司,28730458,"41,400",台中市,"41,400",100%,TRUE,餘慶堂
元晶太陽能科技股份有限公司,28997300,"43,389",新竹縣,"43,389",100%,TRUE,元晶
環球橡膠股份有限公司,29058640,"77,864",高雄市,"77,864",100%,TRUE,環球橡膠
中國鋼鐵股份有限公司,30414175,"18,066,406",高雄市,"18,066,406",100%,TRUE,中鋼
辛耘企業股份有限公司,30901647,"10,391",新竹縣,"10,391",100%,TRUE,辛耘
金像電子股份有限公司,30955404,"83,259",桃園市,"83,259",100%,TRUE,金像電
台灣石化合成股份有限公司,30974253,"84,844",高雄市,"84,844",100%,TRUE,台灣石化
正隆股份有限公司,33085508,"1,338,222",台中市,"839,855",63%,TRUE,正隆
怡華實業股份有限公司,33144175,"33,730",台南市,"33,730",100%,TRUE,怡華
德州儀器工業股份有限公司,33405832,"47,921",新北市,"47,921",100%,TRUE,德州儀器
力鵬企業股份有限公司,33955322,"208,485",彰化縣,"130,274",62%,TRUE,力鵬
錦美紙業股份有限公司,34175598,"33,756",桃園市,"33,756",100%,TRUE,錦美紙業
榮成紙業股份有限公司,34202841,"747,331",彰化縣,"747,331",100%,TRUE,榮成
金元福包裝企業股份有限公司,34227006,"24,895",宜蘭市,"24,895",100%,TRUE,金元福
白馬窯業股份有限公司,34258318,"29,800",桃園市,"29,800",100%,TRUE,白馬磁磚
三洋窯業股份有限公司,34263157,"36,225",新北市,"36,225",100%,TRUE,三洋磁磚
台灣半導體股份有限公司,34286449,"14,804",宜蘭縣,"14,804",100%,TRUE,台半
中興紡織廠股份有限公司,35082604,"65,538",桃園市,"65,538",100%,TRUE,中興紡織
和友紡織股份有限公司,35192807,"22,714",桃園市,"22,714",100%,TRUE,和友紡織
華新麗華股份有限公司,35412204,"293,730",台南市,"213,073",73%,TRUE,華新
台灣湯淺電池股份有限公司,35878589,"23,711",宜蘭縣,"23,711",100%,TRUE,湯淺電池
台灣卜蜂企業股份有限公司,36514783,"37,424",南投縣,"37,424",100%,TRUE,卜蜂
國聯矽業化學股份有限公司,36550632,"32,133",桃園市,"32,133",100%,TRUE,國聯矽業
台硝股份有限公司,38033305,"63,984",桃園市,"63,984",100%,TRUE,台硝
台灣通用器材股份有限公司,38119936,"47,916",新北市,"47,916",100%,TRUE,通用器材
李長榮化學工業股份有限公司,39054405,"215,745",高雄市,"215,745",100%,TRUE,李長榮
幸福水泥股份有限公司,40601248,"606,630",宜蘭縣,"606,630",100%,TRUE,幸福
羅東鋼鐵廠股份有限公司,42010509,"143,940",宜蘭縣,"143,940",100%,TRUE,羅東鋼鐵
林園先進材料科技股份有限公司,42818882,"230,848",高雄市,"230,848",100%,TRUE,林園先進
台灣普利司通股份有限公司,43031502,"27,766",新竹縣,"27,766",100%,TRUE,普利司通
集盛實業股份有限公司,43295237,"110,626",桃園市,"110,626",100%,TRUE,集盛
敬鵬工業股份有限公司,43816068,"58,414",桃園市,"58,414",100%,TRUE,敬鵬
六和機械股份有限公司,44528635,"40,338",桃園市,"40,338",100%,TRUE,六和機械
台灣華可貴股份有限公司,44883108,"23,882",桃園市,"23,882",100%,TRUE,YKK
名佳利金屬工業股份有限公司,45018531,"40,220",桃園市,"40,220",100%,TRUE,名佳利
大享容器工業股份有限公司,46007218,"48,125",新竹縣,"48,125",100%,TRUE,大享容器
華夏玻璃股份有限公司,47109348,"102,152",新竹市,"102,152",100%,TRUE,華夏玻璃
聯華電子股份有限公司,47217677,"1,430,027",台南市,"794,301",56%,TRUE,聯電
台亞半導體股份有限公司,47255947,"29,471",新竹市,"29,471",100%,TRUE,台亞
冠軍建材股份有限公司,49701774,"88,417",苗栗縣,"88,417",100%,TRUE,冠軍
廣源造紙股份有限公司,50301500,"103,832",台中市,"103,832",100%,TRUE,廣源造紙
盧森堡商達爾國際股份有限公司,51158518,"40,586",新竹市,"30,227",74%,TRUE,達爾國際
和大工業股份有限公司,52264848,"27,539",嘉義縣,"27,539",100%,TRUE,和大
聯穎光電股份有限公司,53170263,"46,705",新竹縣,"46,705",100%,TRUE,聯穎
古河銅箔股份有限公司,53372182,"20,753",雲林縣,"20,753",100%,TRUE,古河銅箔
台塑科騰化學有限公司,53667030,"61,998",雲林縣,"61,998",100%,TRUE,台塑科騰
漢磊科技股份有限公司,54389725,"62,555",新竹縣,"51,122",82%,TRUE,漢磊
美商蘋果電子股份有限公司,54393468,"28,280",桃園市,"28,280",100%,TRUE,蘋果電子
東齊染整股份有限公司,54796568,"30,654",桃園市,"30,654",100%,TRUE,東齊染整
豐興鋼鐵股份有限公司,55389357,"696,740",台中市,"696,740",100%,TRUE,豐興
建順煉鋼股份有限公司,55695790,"129,585",苗栗縣,"129,585",100%,TRUE,建順煉鋼
矽品精密工業股份有限公司,55991080,"559,059",台中市,"404,054",72%,TRUE,矽品
巨大機械工業股份有限公司,56054251,"19,911",台中市,"19,911",100%,TRUE,巨大
味丹企業股份有限公司,56121907,"47,645",台中市,"47,645",100%,TRUE,味丹
大鐘印染股份有限公司,57002416,"19,943",桃園市,"19,943",100%,TRUE,大鐘印染
宏全國際股份有限公司,58176511,"35,958",台中市,"35,958",100%,TRUE,宏全
台灣化學纖維股份有限公司,58650902,"8,022,913",雲林縣,"4,507,874",56%,TRUE,台化
正新橡膠工業股份有限公司,59504506,"79,551",彰化縣,"79,551",100%,TRUE,正新
建大工業股份有限公司,59619900,"26,818",雲林縣,"26,818",100%,TRUE,建大
台灣銅箔股份有限公司,61932639,"95,837",南投縣,"95,837",100%,TRUE,台灣銅箔
奇美實業股份有限公司,68387705,"542,811",台南市,"542,811",100%,TRUE,奇美實業
台南紡織股份有限公司,68919301,"123,999",台南市,"123,999",100%,TRUE,南紡
威致鋼鐵工業股份有限公司,69771636,"248,917",台南市,"248,917",100%,TRUE,威致
可成科技股份有限公司,69905810,"11,240",台南市,"11,240",100%,TRUE,可成
台星科股份有限公司,70552666,"31,961",新竹縣,"31,961",100%,TRUE,台星科
艾杰旭顯示玻璃股份有限公司,70584724,"389,006",雲林縣,"360,797",93%,TRUE,艾杰旭
紘楷股份有限公司,70738116,"23,316",桃園市,"23,316",100%,TRUE,紘楷
精金科技股份有限公司,70750217,"45,640",台南市,"45,640",100%,TRUE,精金
欣銓科技股份有限公司,70751779,"29,210",新竹縣,"29,210",100%,TRUE,欣銓
穩懋半導體股份有限公司,70752257,"144,869",桃園市,"144,869",100%,TRUE,穩懋
達邁科技股份有限公司,70776899,"32,467",苗栗縣,"32,467",100%,TRUE,達邁
安瀚視特股份有限公司,70781345,"36,225",台南市,"36,225",100%,TRUE,安瀚視特
景碩科技股份有限公司,70785139,"236,715",桃園市,"152,001",64%,TRUE,景碩
亞太優勢微系統股份有限公司,70815339,"18,474",新竹縣,"18,474",100%,TRUE,亞太優勢
住華科技股份有限公司,70848177,"43,815",台南市,"43,815",100%,TRUE,住華
統一企業股份有限公司,73251209,"77,562",台南市,"50,948",66%,TRUE,統一
統一實業股份有限公司,73252657,"76,339",台南市,"76,339",100%,TRUE,統一實
得力實業股份有限公司,73686632,"63,307",台南市,"63,307",100%,TRUE,得力
東和鋼鐵企業股份有限公司,75280209,"822,114",桃園市,"432,298",53%,TRUE,東和鋼鐵
長興材料工業股份有限公司,75339004,"31,335",高雄市,"31,335",100%,TRUE,長興
南亞塑膠工業股份有限公司,75370905,"3,752,539",雲林縣,"1,604,778",43%,TRUE,南亞
唐榮鐵工廠股份有限公司,75460005,"86,380",高雄市,"86,380",100%,TRUE,唐榮公司
海光企業股份有限公司,75470524,"185,131",高雄市,"185,131",100%,TRUE,海光
漢泰鋼鐵廠股份有限公司,75688109,"46,990",高雄市,"46,990",100%,TRUE,漢泰鋼鐵
台灣塑膠工業股份有限公司,75708007,"8,130,027",雲林縣,"4,564,374",56%,TRUE,台塑
燁輝企業股份有限公司,75947936,"145,362",高雄市,"118,931",82%,TRUE,燁輝
勝一化工股份有限公司,75970680,"59,136",高雄市,"59,136",100%,TRUE,勝一
燁興企業股份有限公司,75992214,"28,089",高雄市,"28,089",100%,TRUE,燁興
楠梓電子股份有限公司,76026851,"30,188",高雄市,"30,188",100%,TRUE,楠梓電
日月光半導體製造股份有限公司,76027628,"543,558",高雄市,"302,767",56%,TRUE,日月光
協勝發鋼鐵廠股份有限公司,79254702,"274,545",高雄市,"274,545",100%,TRUE,協勝發
盛餘股份有限公司,79837539,"74,472",高雄市,"74,472",100%,TRUE,盛餘
台灣醋酸化學股份有限公司,80087041,"136,187",雲林縣,"136,187",100%,TRUE,台灣醋酸
台灣美光晶圓科技股份有限公司,80353271,"981,257",桃園市,"981,257",100%,TRUE,美光晶圓
慶欣欣鋼鐵股份有限公司,80354671,"351,944",彰化縣,"351,944",100%,TRUE,慶欣欣
連大興有限公司,80445899,"31,443",桃園市,"31,443",100%,TRUE,連大興
采鈺科技股份有限公司,80601119,"41,970",新竹市,"30,647",73%,TRUE,采鈺
三芳化學工業股份有限公司,83387850,"22,860",高雄市,"22,860",100%,TRUE,三芳
世界先進積體電路股份有限公司,84149358,"632,278",桃園市,"258,973",41%,TRUE,世界
矽格聯測股份有限公司,84149456,"28,846",新竹市,"28,846",100%,TRUE,矽格聯測
友達光電股份有限公司,84149738,"1,971,913",台中市,"1,218,138",62%,TRUE,友達
晶元光電股份有限公司,84149786,"77,386",台南市,"53,213",69%,TRUE,晶電
昇陽國際半導體股份有限公司,84149884,"23,176",新竹市,"23,176",100%,TRUE,昇陽半導體
榮剛材料科技股份有限公司,84252697,"192,034",台南市,"192,034",100%,TRUE,榮剛
翔新企業股份有限公司,84570243,"19,026",桃園市,"19,026",100%,TRUE,翔新
中龍鋼鐵股份有限公司,84613756,"9,216,366",台中市,"9,216,366",100%,TRUE,中龍鋼鐵
巧新科技工業股份有限公司,84980915,"41,909",雲林縣,"41,909",100%,TRUE,巧新
龍慶鋼鐵企業股份有限公司,85793919,"60,183",高雄市,"60,183",100%,TRUE,龍慶鋼鐵
高雄塑酯化學工業股份有限公司,85803825,"87,790",高雄市,"87,790",100%,TRUE,高雄塑酯
裕鐵企業股份有限公司,85978401,"97,697",高雄市,"97,697",100%,TRUE,裕鐵
中聯資源股份有限公司,86119908,"129,511",高雄市,"71,676",55%,TRUE,中聯資源
信昌化學工業股份有限公司,86120031,"138,448",高雄市,"138,448",100%,TRUE,信昌化學
台塑石化股份有限公司,86522210,"24,234,494",雲林縣,"24,234,494",100%,TRUE,台塑化
建榮工業材料股份有限公司,86691377,"26,219",桃園市,"26,219",100%,TRUE,建榮
潤泰精密材料股份有限公司,86871981,"674,336",宜蘭縣,"674,336",100%,TRUE,潤泰材
嘉聯益科技股份有限公司,86980046,"21,346",桃園市,"21,346",100%,TRUE,嘉聯益
東盟開發實業股份有限公司,88121697,"55,475",台南市,"55,475",100%,TRUE,東盟開發
春雨工廠股份有限公司,88187108,"21,094",高雄市,"21,094",100%,TRUE,春雨
晉禾企業股份有限公司,88680066,"25,589",高雄市,"25,589",100%,TRUE,晉禾
台灣恩智浦半導體股份有限公司,89002500,"63,084",高雄市,"63,084",100%,TRUE,恩智浦
華泰電子股份有限公司,89004161,"71,037",高雄市,"71,037",100%,TRUE,華泰
東欣實業股份有限公司,89356756,"24,850",桃園市,"24,850",100%,TRUE,東欣
南亞科技股份有限公司,89390656,"430,324",新北市,"430,324",100%,TRUE,南亞科
遠東先進纖維股份有限公司,89392269,"21,530",桃園市,"21,530",100%,TRUE,遠東先進
台鹽實業股份有限公司,89397503,"25,475",苗栗縣,"25,475",100%,TRUE,台鹽
台塑勝高科技股份有限公司,89406518,"229,103",雲林縣,"229,103",100%,TRUE,台勝科
中聯油脂股份有限公司,89480404,"46,277",台中市,"46,277",100%,TRUE,中聯油脂
台灣鋼聯股份有限公司,89528054,"82,523",彰化縣,"82,523",100%,TRUE,鋼聯
晉瑜企業股份有限公司,89939090,"69,772",彰化縣,"39,158",56%,TRUE,晉瑜
鴻揚半導體股份有限公司,90505585,"35,032",新竹市,"35,032",100%,TRUE,鴻揚半導體
上評資源循環股份有限公司,91004618,"21,031",嘉義縣,"21,031",100%,TRUE,上評資源
中華紙漿股份有限公司,94025264,"727,556",高雄市,"408,720",56%,TRUE,華紙
台耀化學股份有限公司,96922622,"35,349",桃園市,"35,349",100%,TRUE,台耀
中鋼鋁業股份有限公司,96971313,"147,580",高雄市,"147,580",100%,TRUE,中鋼鋁
漢翔航空工業股份有限公司,97160544,"26,878",高雄市,"26,878",100%,TRUE,漢翔
南中石化工業股份有限公司,97161348,"77,712",雲林縣,"77,712",100%,TRUE,南中石化
台日古河銅箔股份有限公司,97168665,"51,121",雲林縣,"51,121",100%,TRUE,台日古河
李長榮科技股份有限公司,97173920,"58,723",高雄市,"58,723",100%,TRUE,榮科