公司,事業統編,工廠數,2023排放量,行業別,排放量扣除額,碳費基準每噸300元,碳費基準!00,碳費基準50,營業收入,營業成本,本期淨利,300佔營收,300佔成本-外加,300佔淨利
台灣電力股份有限公司,	03795904,12,"93,328,083.64",電力業,300000,"NT$2,790,842.51 萬元","NT$930,280.84 萬元","NT$465,140.42 萬元","NT$78,098,366.00 萬元","NT$94,347,385.00 萬元","-NT$19,993,553.00 萬元",3.57%,2.96%,淨利為負值
台塑石化股份有限公司,86522210,3,"24,234,494.00",石化業,75000,"NT$724,784.82 萬元","NT$241,594.94 萬元","NT$120,797.47 萬元","NT$71,257,619.00 萬元","NT$68,555,353.00 萬元","NT$2,187,585.00 萬元",1.02%,1.06%,33.13%
中國鋼鐵股份有限公司,30414175,2,"18,066,406.34",鋼鐵業,50000,"NT$540,492.19 萬元","NT$180,164.06 萬元","NT$90,082.03 萬元","NT$36,332,650.00 萬元","NT$34,655,375.00 萬元","NT$353,121.00 萬元",1.49%,1.56%,153.06%
台灣積體電路製造股份有限公司,22099131,31,"11,418,277.62",半導體業,775000,"NT$319,298.33 萬元","NT$106,432.78 萬元","NT$53,216.39 萬元","NT$216,173,584.00 萬元","NT$98,662,521.00 萬元","NT$83,776,752.00 萬元",0.15%,0.32%,0.38%
麥寮汽電股份有限公司,96975970,1,"9,443,380.10",電力業,25000,"NT$282,551.40 萬元","NT$94,183.80 萬元","NT$47,091.90 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
中龍鋼鐵股份有限公司,84613756,1,"9,216,366.06",鋼鐵業,25000,"NT$275,740.98 萬元","NT$91,913.66 萬元","NT$45,956.83 萬元","NT$8,957,417.00 萬元","NT$9,340,022.00 萬元","-NT$519,537.00 萬元",3.08%,2.95%,淨利為負值
台灣塑膠工業股份有限公司,75708007,8,"8,130,027.41",石化業,200000,"NT$237,900.82 萬元","NT$79,300.27 萬元","NT$39,650.14 萬元","NT$19,913,878.00 萬元","NT$18,931,232.00 萬元","NT$733,771.00 萬元",1.19%,1.26%,32.42%
台灣化學纖維股份有限公司,58650902,5,"8,022,912.66",石化業,125000,"NT$236,937.38 萬元","NT$78,979.13 萬元","NT$39,489.56 萬元","NT$33,261,953.00 萬元","NT$32,119,509.00 萬元","NT$770,494.00 萬元",0.71%,0.74%,30.75%
和平電力股份有限公司,16096852,1,"7,995,242.90",電力業,25000,"NT$239,107.29 萬元","NT$79,702.43 萬元","NT$39,851.21 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台灣中油股份有限公司,	03707901,5,"6,542,927.09",石化業,125000,"NT$192,537.81 萬元","NT$64,179.27 萬元","NT$32,089.64 萬元","NT$110,346,853.00 萬元","NT$109,280,886.00 萬元","-NT$2,045,171.00 萬元",0.17%,0.18%,淨利為負值
南亞塑膠工業股份有限公司,75370905,9,"3,752,539.36",石化業,225000,"NT$105,826.18 萬元","NT$35,275.39 萬元","NT$17,637.70 萬元","NT$25,975,534.00 萬元","NT$24,051,934.00 萬元","NT$811,005.00 萬元",0.41%,0.44%,13.05%
台灣水泥股份有限公司,11913502,2,"3,643,800.26",水泥業,50000,"NT$107,814.01 萬元","NT$35,938.00 萬元","NT$17,969.00 萬元","NT$10,931,434.00 萬元","NT$8,878,057.00 萬元","NT$1,000,461.00 萬元",0.99%,1.21%,10.78%
亞洲水泥股份有限公司,	03244509,1,"2,782,856.11",水泥業,25000,"NT$82,735.68 萬元","NT$27,578.56 萬元","NT$13,789.28 萬元","NT$8,018,280.00 萬元","NT$6,974,561.00 萬元","NT$1,108,411.00 萬元",1.03%,1.19%,7.46%
長春石油化學股份有限公司,11384806,5,"2,475,901.51",石化業,125000,"NT$70,527.05 萬元","NT$23,509.02 萬元","NT$11,754.51 萬元","NT$10,573,862.00 萬元","NT$9,424,159.00 萬元","NT$496,952.00 萬元",0.67%,0.75%,14.19%
群創光電股份有限公司,12800225,9,"2,412,735.52",光電業,225000,"NT$65,632.07 萬元","NT$21,877.36 萬元","NT$10,938.68 萬元","NT$21,174,056.00 萬元","NT$20,863,151.00 萬元","-NT$1,859,873.00 萬元",0.31%,0.31%,淨利為負值
森霸電力股份有限公司,70783499,1,"2,195,622.61",電力業,25000,"NT$65,118.68 萬元","NT$21,706.23 萬元","NT$10,853.11 萬元","NT$2,201,016.00 萬元","NT$2,006,211.00 萬元","NT$159,520.00 萬元",2.96%,3.25%,40.82%
友達光電股份有限公司,84149738,9,"1,971,912.89",光電業,225000,"NT$52,407.39 萬元","NT$17,469.13 萬元","NT$8,734.56 萬元","NT$24,796,444.00 萬元","NT$24,335,407.00 萬元","-NT$1,815,115.00 萬元",0.21%,0.22%,淨利為負值
長生電力股份有限公司,96933037,1,"1,889,472.43",電力業,25000,"NT$55,934.17 萬元","NT$18,644.72 萬元","NT$9,322.36 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
華亞汽電股份有限公司,70783006,2,"1,844,407.99",電力業,50000,"NT$53,832.24 萬元","NT$17,944.08 萬元","NT$8,972.04 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
嘉惠電力股份有限公司,96976990,1,"1,775,020.33",電力業,25000,"NT$52,500.61 萬元","NT$17,500.20 萬元","NT$8,750.10 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
聯華電子股份有限公司,47217677,7,"1,430,026.92",半導體業,175000,"NT$37,650.81 萬元","NT$12,550.27 萬元","NT$6,275.13 萬元","NT$22,253,300.00 萬元","NT$14,478,916.00 萬元","NT$6,143,982.00 萬元",0.17%,0.26%,0.61%
大連化學工業股份有限公司,12233428,3,"1,384,650.66",石化業,75000,"NT$39,289.52 萬元","NT$13,096.51 萬元","NT$6,548.25 萬元","NT$4,742,155.00 萬元","NT$4,246,819.00 萬元","NT$40,412.00 萬元",0.83%,0.93%,97.22%
正隆股份有限公司,33085508,4,"1,338,222.45",造紙業,100000,"NT$37,146.67 萬元","NT$12,382.22 萬元","NT$6,191.11 萬元","NT$4,216,547.00 萬元","NT$3,450,535.00 萬元","NT$93,296.00 萬元",0.88%,1.08%,39.82%
台灣美光記憶體股份有限公司,28518076,3,"1,156,889.39",半導體業,75000,"NT$32,456.68 萬元","NT$10,818.89 萬元","NT$5,409.45 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
長春人造樹脂廠股份有限公司,11384708,5,"1,152,774.41",石化業,125000,"NT$30,833.23 萬元","NT$10,277.74 萬元","NT$5,138.87 萬元","NT$11,023,277.00 萬元","NT$10,113,097.00 萬元","NT$554,804.00 萬元",0.28%,0.30%,5.56%
星元電力股份有限公司,27945086,1,"1,076,692.51",電力業,25000,"NT$31,550.78 萬元","NT$10,516.93 萬元","NT$5,258.46 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
國光電力股份有限公司,70833553,1,"1,065,234.37",電力業,25000,"NT$31,207.03 萬元","NT$10,402.34 萬元","NT$5,201.17 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
星能電力股份有限公司,70783765,1,"1,038,526.42",電力業,25000,"NT$30,405.79 萬元","NT$10,135.26 萬元","NT$5,067.63 萬元","NT$1,054,610.00 萬元","NT$976,181.00 萬元","NT$60,673.00 萬元",2.88%,3.11%,50.11%
台灣美光晶圓科技股份有限公司,80353271,2,"981,257.36",半導體業,50000,"NT$27,937.72 萬元","NT$9,312.57 萬元","NT$4,656.29 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
中國石油化學工業開發股份有限公司,	03084741,4,"843,460.77",石化業,100000,"NT$22,303.82 萬元","NT$7,434.61 萬元","NT$3,717.30 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
東和鋼鐵企業股份有限公司,75280209,4,"822,114.05",鋼鐵業,100000,"NT$21,663.42 萬元","NT$7,221.14 萬元","NT$3,610.57 萬元","NT$6,096,191.00 萬元","NT$5,231,572.00 萬元","NT$475,982.00 萬元",0.36%,0.41%,4.55%
新桃電力股份有限公司,16596337,1,"766,057.17",電力業,25000,"NT$22,231.72 萬元","NT$7,410.57 萬元","NT$3,705.29 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
榮成紙業股份有限公司,34202841,2,"747,331.29",造紙業,50000,"NT$20,919.94 萬元","NT$6,973.31 萬元","NT$3,486.66 萬元","NT$4,671,203.00 萬元","NT$4,216,414.00 萬元","-NT$103,137.00 萬元",0.45%,0.50%,淨利為負值
中華紙漿股份有限公司,94025264,3,"727,555.62",造紙業,75000,"NT$19,576.67 萬元","NT$6,525.56 萬元","NT$3,262.78 萬元","NT$2,095,545.00 萬元","NT$1,986,469.00 萬元","-NT$55,450.00 萬元",0.93%,0.99%,淨利為負值
豐興鋼鐵股份有限公司,55389357,1,"696,740.22",鋼鐵業,25000,"NT$20,152.21 萬元","NT$6,717.40 萬元","NT$3,358.70 萬元","NT$3,488,202.00 萬元","NT$3,132,630.00 萬元","NT$237,549.00 萬元",0.58%,0.64%,8.48%
潤泰精密材料股份有限公司,86871981,1,"674,335.94",水泥業,25000,"NT$19,480.08 萬元","NT$6,493.36 萬元","NT$3,246.68 萬元","NT$550,087.00 萬元","NT$487,586.00 萬元","NT$21,095.00 萬元",3.54%,4.00%,92.34%
世界先進積體電路股份有限公司,84149358,4,"632,278.14",半導體業,100000,"NT$15,968.34 萬元","NT$5,322.78 萬元","NT$2,661.39 萬元","NT$3,827,257.00 萬元","NT$2,782,656.00 萬元","NT$737,007.00 萬元",0.42%,0.57%,2.17%
永豐餘工業用紙股份有限公司,27719048,1,"614,963.78",造紙業,25000,"NT$17,698.91 萬元","NT$5,899.64 萬元","NT$2,949.82 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
幸福水泥股份有限公司,40601248,1,"606,629.51",水泥業,25000,"NT$17,448.89 萬元","NT$5,816.30 萬元","NT$2,908.15 萬元","NT$509,474.00 萬元","NT$421,183.00 萬元","NT$52,714.00 萬元",3.42%,4.14%,33.10%
錦州科技股份有限公司,53520959,1,"600,828.46",電力業,25000,"NT$17,274.85 萬元","NT$5,758.28 萬元","NT$2,879.14 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台灣玻璃工業股份有限公司,11914002,6,"598,879.83",非金屬製品加工業,150000,"NT$13,466.39 萬元","NT$4,488.80 萬元","NT$2,244.40 萬元","NT$4,561,904.00 萬元","NT$4,105,170.00 萬元","NT$2,485.00 萬元",0.30%,0.33%,541.91%
信大水泥股份有限公司,	03279507,1,"592,621.92",水泥業,25000,"NT$17,028.66 萬元","NT$5,676.22 萬元","NT$2,838.11 萬元","NT$625,986.00 萬元","NT$491,879.00 萬元","NT$80,759.00 萬元",2.72%,3.46%,21.09%
力晶積成電子製造股份有限公司,28112667,4,"582,943.65",半導體業,100000,"NT$14,488.31 萬元","NT$4,829.44 萬元","NT$2,414.72 萬元","NT$4,402,255.00 萬元","NT$3,873,058.00 萬元","-NT$164,354.00 萬元",0.33%,0.37%,淨利為負值
遠東新世紀股份有限公司,	03522600,3,"569,531.79",石化業,75000,"NT$14,835.95 萬元","NT$4,945.32 萬元","NT$2,472.66 萬元","NT$25,720,394.00 萬元","NT$21,014,270.00 萬元","NT$1,531,949.00 萬元",0.06%,0.07%,0.97%
大園汽電共生股份有限公司,84526079,1,"566,629.45",電力業,25000,"NT$16,248.88 萬元","NT$5,416.29 萬元","NT$2,708.15 萬元","NT$271,701.00 萬元","NT$218,010.00 萬元","NT$28,334.00 萬元",5.98%,7.45%,57.35%
矽品精密工業股份有限公司,55991080,5,"559,058.66",半導體業,125000,"NT$13,021.76 萬元","NT$4,340.59 萬元","NT$2,170.29 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
三福氣體股份有限公司,11072509,6,"554,927.66",石化業,150000,"NT$12,147.83 萬元","NT$4,049.28 萬元","NT$2,024.64 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
聯亞科技股份有限公司,22099456,6,"553,705.98",石化業,150000,"NT$12,111.18 萬元","NT$4,037.06 萬元","NT$2,018.53 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
日月光半導體製造股份有限公司,76027628,13,"543,558.41",半導體業,325000,"NT$6,556.75 萬元","NT$2,185.58 萬元","NT$1,092.79 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
奇美實業股份有限公司,68387705,2,"542,811.13",石化業,50000,"NT$14,784.33 萬元","NT$4,928.11 萬元","NT$2,464.06 萬元","NT$12,482,162.00 萬元","NT$11,832,428.00 萬元","-NT$66,607.00 萬元",0.12%,0.12%,淨利為負值
欣興電子股份有限公司,23535435,10,"537,380.48",電子業,250000,"NT$8,621.41 萬元","NT$2,873.80 萬元","NT$1,436.90 萬元","NT$10,403,615.00 萬元","NT$8,373,455.00 萬元","NT$1,222,510.00 萬元",0.08%,0.10%,0.71%
燁聯鋼鐵股份有限公司,23218395,1,"485,003.78",鋼鐵業,25000,"NT$13,800.11 萬元","NT$4,600.04 萬元","NT$2,300.02 萬元","NT$4,338,912.00 萬元","NT$4,526,799.00 萬元","-NT$337,798.00 萬元",0.32%,0.30%,淨利為負值
南亞電路板股份有限公司,16096804,2,"442,870.11",電子業,50000,"NT$11,786.10 萬元","NT$3,928.70 萬元","NT$1,964.35 萬元","NT$4,225,258.00 萬元","NT$3,407,518.00 萬元","NT$581,659.00 萬元",0.28%,0.35%,2.03%
國喬石油化學股份有限公司,	04212250,1,"437,352.64",石化業,25000,"NT$12,370.58 萬元","NT$4,123.53 萬元","NT$2,061.76 萬元","NT$1,571,919.00 萬元","NT$1,527,089.00 萬元","-NT$145,688.00 萬元",0.79%,0.81%,淨利為負值
南亞科技股份有限公司,89390656,1,"430,324.12",半導體業,25000,"NT$12,159.72 萬元","NT$4,053.24 萬元","NT$2,026.62 萬元","NT$2,989,231.00 萬元","NT$3,437,515.00 萬元","-NT$743,963.00 萬元",0.41%,0.35%,淨利為負值
台灣康寧顯示玻璃股份有限公司,	04388145,2,"418,258.35",非金屬製品加工業,50000,"NT$11,047.75 萬元","NT$3,682.58 萬元","NT$1,841.29 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台灣肥料股份有限公司,	03795101,1,"413,920.90",石化業,25000,"NT$11,667.63 萬元","NT$3,889.21 萬元","NT$1,944.60 萬元","NT$1,501,479.00 萬元","NT$1,089,662.00 萬元","NT$391,905.00 萬元",0.78%,1.07%,2.98%
中國人造纖維股份有限公司,	07066907,1,"410,657.17",石化業,25000,"NT$11,569.72 萬元","NT$3,856.57 萬元","NT$1,928.29 萬元","NT$3,877,031.00 萬元",NT$0.00 萬元,"NT$361,586.00 萬元",0.30%,無法計算,3.20%
義芳化學工業股份有限公司,15395706,1,"404,894.34",石化業,25000,"NT$11,396.83 萬元","NT$3,798.94 萬元","NT$1,899.47 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
華邦電子股份有限公司,22099218,2,"397,006.76",半導體業,50000,"NT$10,410.20 萬元","NT$3,470.07 萬元","NT$1,735.03 萬元","NT$7,500,608.00 萬元","NT$5,261,035.00 萬元","NT$3,445.00 萬元",0.14%,0.20%,302.18%
艾杰旭顯示玻璃股份有限公司,70584724,3,"389,005.92",非金屬製品加工業,75000,"NT$9,420.18 萬元","NT$3,140.06 萬元","NT$1,570.03 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
亞東工業氣體股份有限公司,22522453,7,"356,607.21",石化業,175000,"NT$5,448.22 萬元","NT$1,816.07 萬元",NT$908.04 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
旺宏電子股份有限公司,22099548,2,"355,303.42",半導體業,50000,"NT$9,159.10 萬元","NT$3,053.03 萬元","NT$1,526.52 萬元","NT$2,762,361.00 萬元","NT$2,086,295.00 萬元","-NT$169,915.00 萬元",0.33%,0.44%,淨利為負值
慶欣欣鋼鐵股份有限公司,80354671,1,"351,943.85",鋼鐵業,25000,"NT$9,808.32 萬元","NT$3,269.44 萬元","NT$1,634.72 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
東聯化學股份有限公司,14057995,1,"343,758.89",石化業,25000,"NT$9,562.77 萬元","NT$3,187.59 萬元","NT$1,593.79 萬元","NT$2,081,693.00 萬元","NT$2,048,001.00 萬元","-NT$22,430.00 萬元",0.46%,0.47%,淨利為負值
亞東石化股份有限公司,22318678,2,"338,342.85",石化業,50000,"NT$8,650.29 萬元","NT$2,883.43 萬元","NT$1,441.71 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台灣汽電共生股份有限公司,86685142,1,"337,169.48",電力業,25000,"NT$9,365.08 萬元","NT$3,121.69 萬元","NT$1,560.85 萬元","NT$534,840.00 萬元","NT$480,514.00 萬元","NT$124,239.00 萬元",1.75%,1.95%,7.54%
力成科技股份有限公司,16082267,7,"306,448.34",半導體業,175000,"NT$3,943.45 萬元","NT$1,314.48 萬元",NT$657.24 萬元,"NT$7,044,095.00 萬元","NT$5,783,197.00 萬元","NT$950,914.00 萬元",0.06%,0.07%,0.41%
華新麗華股份有限公司,35412204,2,"293,729.54",鋼鐵業,50000,"NT$7,311.89 萬元","NT$2,437.30 萬元","NT$1,218.65 萬元","NT$18,983,963.00 萬元","NT$17,539,601.00 萬元","NT$594,125.00 萬元",0.04%,0.04%,1.23%
新光合成纖維股份有限公司,	07435515,2,"287,173.16",紡織業,50000,"NT$7,115.19 萬元","NT$2,371.73 萬元","NT$1,185.87 萬元","NT$3,956,514.00 萬元",NT$0.00 萬元,"NT$116,957.00 萬元",0.18%,無法計算,6.08%
京元電子股份有限公司,22507241,2,"280,120.09",半導體業,50000,"NT$6,903.60 萬元","NT$2,301.20 萬元","NT$1,150.60 萬元","NT$3,302,531.00 萬元","NT$2,188,352.00 萬元","NT$601,637.00 萬元",0.21%,0.32%,1.15%
協勝發鋼鐵廠股份有限公司,79254702,1,"274,545.14",鋼鐵業,25000,"NT$7,486.35 萬元","NT$2,495.45 萬元","NT$1,247.73 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
瀚宇彩晶股份有限公司,16450500,2,"265,839.99",光電業,50000,"NT$6,475.20 萬元","NT$2,158.40 萬元","NT$1,079.20 萬元","NT$1,235,297.00 萬元","NT$1,489,599.00 萬元","-NT$467,748.00 萬元",0.52%,0.43%,淨利為負值
中鴻鋼鐵股份有限公司,	07838854,2,"260,634.45",鋼鐵業,50000,"NT$6,319.03 萬元","NT$2,106.34 萬元","NT$1,053.17 萬元","NT$3,776,421.00 萬元","NT$3,725,190.00 萬元","NT$15,928.00 萬元",0.17%,0.17%,39.67%
威致鋼鐵工業股份有限公司,69771636,1,"248,916.95",鋼鐵業,25000,"NT$6,717.51 萬元","NT$2,239.17 萬元","NT$1,119.58 萬元","NT$1,048,417.00 萬元","NT$979,988.00 萬元","NT$41,522.00 萬元",0.64%,0.69%,16.18%
景碩科技股份有限公司,70785139,5,"236,714.85",電子業,125000,"NT$3,351.45 萬元","NT$1,117.15 萬元",NT$558.57 萬元,"NT$2,683,219.00 萬元","NT$2,007,468.00 萬元","NT$117,040.00 萬元",0.12%,0.17%,2.86%
林園先進材料科技股份有限公司,42818882,1,"230,847.60",石化業,25000,"NT$6,175.43 萬元","NT$2,058.48 萬元","NT$1,029.24 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台塑勝高科技股份有限公司,89406518,1,"229,103.31",半導體業,25000,"NT$6,123.10 萬元","NT$2,041.03 萬元","NT$1,020.52 萬元","NT$1,487,623.00 萬元","NT$984,914.00 萬元","NT$345,884.00 萬元",0.41%,0.62%,1.77%
南茂科技股份有限公司,16130042,5,"224,959.77",半導體業,125000,"NT$2,998.79 萬元",NT$999.60 萬元,NT$499.80 萬元,"NT$2,135,623.00 萬元","NT$1,780,680.00 萬元","NT$189,343.00 萬元",0.14%,0.17%,1.58%
凌巨科技股份有限公司,16432742,1,"224,922.87",光電業,25000,"NT$5,997.69 萬元","NT$1,999.23 萬元",NT$999.61 萬元,"NT$904,212.00 萬元","NT$828,609.00 萬元","NT$23,616.00 萬元",0.66%,0.72%,25.40%
李長榮化學工業股份有限公司,39054405,3,"215,745.08",石化業,75000,"NT$4,222.35 萬元","NT$1,407.45 萬元",NT$703.73 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
力鵬企業股份有限公司,33955322,2,"208,485.03",石化業,50000,"NT$4,754.55 萬元","NT$1,584.85 萬元",NT$792.43 萬元,"NT$2,966,974.00 萬元","NT$2,943,818.00 萬元","-NT$43,329.00 萬元",0.16%,0.16%,淨利為負值
台灣苯乙烯工業股份有限公司,20844865,1,"200,746.89",石化業,25000,"NT$5,272.41 萬元","NT$1,757.47 萬元",NT$878.73 萬元,"NT$954,118.00 萬元","NT$995,255.00 萬元","-NT$46,066.00 萬元",0.55%,0.53%,淨利為負值
榮剛材料科技股份有限公司,84252697,2,"192,033.58",鋼鐵業,50000,"NT$4,261.01 萬元","NT$1,420.34 萬元",NT$710.17 萬元,"NT$1,352,525.00 萬元","NT$988,060.00 萬元","NT$239,525.00 萬元",0.32%,0.43%,1.78%
中美和石油化學股份有限公司,14040691,1,"185,233.53",石化業,25000,"NT$4,807.01 萬元","NT$1,602.34 萬元",NT$801.17 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
