公司,事業統編,工廠數,2023排放量,行業別,排放量扣除額,碳費基準每噸300元,碳費基準!00,碳費基準50,營業收入,營業成本,本期淨利,300佔營收,300佔成本-外加,300佔淨利
聯穎光電股份有限公司,53170263,1,"46,705.12",半導體業,25000,NT$651.15 萬元,NT$217.05 萬元,NT$108.53 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
誠美材料科技股份有限公司,27790294,1,"46,382.84",光電業,25000,NT$641.49 萬元,NT$213.83 萬元,NT$106.91 萬元,"NT$923,766.00 萬元","NT$887,265.00 萬元","-NT$58,096.00 萬元",0.07%,0.07%,淨利為負值
中聯油脂股份有限公司,89480404,1,"46,277.12",食品業,25000,NT$638.31 萬元,NT$212.77 萬元,NT$106.39 萬元,"NT$1,133,527.00 萬元","NT$1,098,273.00 萬元","NT$16,065.00 萬元",0.06%,0.06%,3.97%
宏捷科技股份有限公司,16130423,1,"46,239.24",半導體業,25000,NT$637.18 萬元,NT$212.39 萬元,NT$106.20 萬元,"NT$272,310.00 萬元","NT$230,837.00 萬元","NT$8,273.00 萬元",0.23%,0.28%,7.70%
精金科技股份有限公司,70750217,1,"45,640.33",光電業,25000,NT$619.21 萬元,NT$206.40 萬元,NT$103.20 萬元,"NT$133,183.00 萬元","NT$215,150.00 萬元","-NT$95,117.00 萬元",0.46%,0.29%,淨利為負值
台燿科技股份有限公司,	04226091,1,"45,464.26",電子業,25000,NT$613.93 萬元,NT$204.64 萬元,NT$102.32 萬元,"NT$1,600,254.00 萬元","NT$1,284,356.00 萬元","NT$82,344.00 萬元",0.04%,0.05%,0.75%
住華科技股份有限公司,70848177,1,"43,815.22",電子業,25000,NT$564.46 萬元,NT$188.15 萬元,NT$94.08 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
藍海氣體工業股份有限公司,28438186,1,"43,581.91",石化業,25000,NT$557.46 萬元,NT$185.82 萬元,NT$92.91 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台塑旭彈性纖維股份有限公司,16446128,1,"43,544.72",石化業,25000,NT$556.34 萬元,NT$185.45 萬元,NT$92.72 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
元晶太陽能科技股份有限公司,28997300,1,"43,389.37",光電業,25000,NT$551.68 萬元,NT$183.89 萬元,NT$91.95 萬元,"NT$826,095.00 萬元","NT$698,671.00 萬元","NT$52,726.00 萬元",0.07%,0.08%,1.05%
日皓造紙工業股份有限公司,24001900,1,"42,095.80",造紙業,25000,NT$512.87 萬元,NT$170.96 萬元,NT$85.48 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
新隆纖維染整股份有限公司,	07472834,1,"42,063.17",紡織業,25000,NT$511.90 萬元,NT$170.63 萬元,NT$85.32 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
采鈺科技股份有限公司,80601119,2,"41,970.21",電子業,50000,免徵,免徵,免徵,"NT$723,693.00 萬元","NT$602,258.00 萬元","NT$35,608.00 萬元",無法計算,無法計算,無法計算
巧新科技工業股份有限公司,84980915,1,"41,908.52",鋁製造業,25000,NT$507.26 萬元,NT$169.09 萬元,NT$84.54 萬元,"NT$777,932.00 萬元","NT$604,490.00 萬元","NT$60,844.00 萬元",0.07%,0.08%,0.83%
餘慶堂興業股份有限公司,28730458,1,"41,399.65",水泥業,25000,NT$491.99 萬元,NT$164.00 萬元,NT$82.00 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
盧森堡商達爾國際股份有限公司,51158518,2,"40,586.04",半導體業,50000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
六和機械股份有限公司,44528635,1,"40,337.86",汽機車業,25000,NT$460.14 萬元,NT$153.38 萬元,NT$76.69 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
矽格股份有限公司,23218022,1,"40,326.73",半導體業,25000,NT$459.80 萬元,NT$153.27 萬元,NT$76.63 萬元,"NT$1,547,950.00 萬元","NT$1,190,074.00 萬元","NT$213,851.00 萬元",0.03%,0.04%,0.22%
名佳利金屬工業股份有限公司,45018531,2,"40,219.90",銅製造業,50000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
聯合再生能源股份有限公司,27763753,2,"40,135.27",光電業,50000,免徵,免徵,免徵,"NT$1,251,623.00 萬元","NT$1,428,409.00 萬元","-NT$391,496.00 萬元",無法計算,無法計算,淨利為負值
晶碩光學股份有限公司,25021158,1,"39,959.65",眼鏡製造業,25000,NT$448.79 萬元,NT$149.60 萬元,NT$74.80 萬元,"NT$678,986.00 萬元","NT$312,158.00 萬元","NT$167,793.00 萬元",0.07%,0.14%,0.27%
萬洲化學股份有限公司,	03244705,1,"39,754.32",石化業,25000,NT$442.63 萬元,NT$147.54 萬元,NT$73.77 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
南港輪胎股份有限公司,11520909,1,"38,973.45",石化業,25000,NT$419.20 萬元,NT$139.73 萬元,NT$69.87 萬元,"NT$785,197.00 萬元","NT$629,838.00 萬元","NT$13,401.00 萬元",0.05%,0.07%,3.13%
台榮產業股份有限公司,	03543210,1,"38,842.05",碾穀、磨粉及澱粉製品製造業,25000,NT$415.26 萬元,NT$138.42 萬元,NT$69.21 萬元,"NT$329,389.00 萬元","NT$285,580.00 萬元","NT$15,782.00 萬元",0.13%,0.15%,2.63%
國瑞汽車股份有限公司,12488060,1,"38,699.37",汽機車業,25000,NT$410.98 萬元,NT$136.99 萬元,NT$68.50 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台達化學工業股份有限公司,11893409,1,"38,292.50",石化業,25000,NT$398.78 萬元,NT$132.93 萬元,NT$66.46 萬元,"NT$1,520,546.00 萬元","NT$1,476,989.00 萬元","-NT$27,354.00 萬元",0.03%,0.03%,淨利為負值
上銀科技股份有限公司,23503047,1,"37,750.58",金屬加工用機械設備製造業,25000,NT$382.52 萬元,NT$127.51 萬元,NT$63.75 萬元,"NT$2,463,277.00 萬元","NT$1,697,752.00 萬元","NT$183,151.00 萬元",0.02%,0.02%,0.21%
台灣卜蜂企業股份有限公司,36514783,1,"37,423.87",食品業,25000,NT$372.72 萬元,NT$124.24 萬元,NT$62.12 萬元,"NT$2,915,975.00 萬元","NT$2,415,775.00 萬元","NT$225,644.00 萬元",0.01%,0.02%,0.17%
友達晶材股份有限公司,24410807,1,"37,147.04",光電業,25000,NT$364.41 萬元,NT$121.47 萬元,NT$60.74 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
達輝光電股份有限公司,28230046,1,"37,057.70",光電業,25000,NT$361.73 萬元,NT$120.58 萬元,NT$60.29 萬元,"NT$117,426.00 萬元","NT$127,922.00 萬元","-NT$19,840.00 萬元",0.31%,0.28%,淨利為負值
三陽工業股份有限公司,24004006,1,"36,957.84",汽機車業,25000,NT$358.74 萬元,NT$119.58 萬元,NT$59.79 萬元,"NT$6,446,124.00 萬元","NT$5,105,112.00 萬元","NT$666,339.00 萬元",0.01%,0.01%,0.05%
東隆興業股份有限公司,18770509,2,"36,235.44",紡織業,50000,免徵,免徵,免徵,"NT$281,825.00 萬元","NT$264,664.00 萬元","-NT$1,215.00 萬元",無法計算,無法計算,淨利為負值
安瀚視特股份有限公司,70781345,1,"36,225.47",非金屬製品加工業,25000,NT$336.76 萬元,NT$112.25 萬元,NT$56.13 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
三洋窯業股份有限公司,34263157,1,"36,224.62",非金屬製品加工業,25000,NT$336.74 萬元,NT$112.25 萬元,NT$56.12 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
宏全國際股份有限公司,58176511,1,"35,957.71",鋼鐵業,25000,NT$328.73 萬元,NT$109.58 萬元,NT$54.79 萬元,"NT$2,640,921.00 萬元","NT$2,078,910.00 萬元","NT$255,999.00 萬元",0.01%,0.02%,0.13%
台耀化學股份有限公司,96922622,1,"35,349.44",石化業,25000,NT$310.48 萬元,NT$103.49 萬元,NT$51.75 萬元,"NT$436,045.00 萬元","NT$243,712.00 萬元","-NT$5,226.00 萬元",0.07%,0.13%,淨利為負值
鴻揚半導體股份有限公司,90505585,1,"35,031.68",半導體業,25000,NT$300.95 萬元,NT$100.32 萬元,NT$50.16 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
環球水泥股份有限公司,	07568009,1,"34,845.22",水泥業,25000,NT$295.36 萬元,NT$98.45 萬元,NT$49.23 萬元,"NT$780,236.00 萬元","NT$626,022.00 萬元","NT$234,725.00 萬元",0.04%,0.05%,0.13%
台灣國際造船股份有限公司,	04695235,1,"34,260.33",造船業,25000,NT$277.81 萬元,NT$92.60 萬元,NT$46.30 萬元,"NT$2,147,637.00 萬元","NT$2,388,768.00 萬元","-NT$405,092.00 萬元",0.01%,0.01%,淨利為負值
大同染整股份有限公司,	07014916,1,"34,251.79",紡織業,25000,NT$277.55 萬元,NT$92.52 萬元,NT$46.26 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
科德寶遠東股份有限公司,22663158,1,"34,066.55",紡織業,25000,NT$272.00 萬元,NT$90.67 萬元,NT$45.33 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
錦美紙業股份有限公司,34175598,1,"33,756.03",造紙業,25000,NT$262.68 萬元,NT$87.56 萬元,NT$43.78 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
怡華實業股份有限公司,33144175,1,"33,730.26",紡織業,25000,NT$261.91 萬元,NT$87.30 萬元,NT$43.65 萬元,"NT$168,490.00 萬元","NT$112,222.00 萬元",NT$508.00 萬元,0.16%,0.23%,51.56%
遠東氣體工業股份有限公司,22956507,1,"33,414.13",石化業,25000,NT$252.42 萬元,NT$84.14 萬元,NT$42.07 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
紡安股份有限公司,25131486,1,"33,381.23",紡織業,25000,NT$251.44 萬元,NT$83.81 萬元,NT$41.91 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
環泰企業股份有限公司,12529007,1,"32,769.62",食品業,25000,NT$233.09 萬元,NT$77.70 萬元,NT$38.85 萬元,"NT$533,922.00 萬元","NT$459,267.00 萬元","NT$30,470.00 萬元",0.04%,0.05%,0.76%
達邁科技股份有限公司,70776899,1,"32,466.63",電子業,25000,NT$224.00 萬元,NT$74.67 萬元,NT$37.33 萬元,"NT$159,302.00 萬元","NT$135,166.00 萬元","-NT$15,349.00 萬元",0.14%,0.17%,淨利為負值
國聯矽業化學股份有限公司,36550632,1,"32,133.49",石化業,25000,NT$214.00 萬元,NT$71.33 萬元,NT$35.67 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台合科技股份有限公司,12691423,1,"32,000.77",石化業,25000,NT$210.02 萬元,NT$70.01 萬元,NT$35.00 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台星科股份有限公司,70552666,1,"31,960.87",電子業,25000,NT$208.83 萬元,NT$69.61 萬元,NT$34.80 萬元,"NT$366,782.00 萬元","NT$256,428.00 萬元","NT$83,984.00 萬元",0.06%,0.08%,0.25%
金車股份有限公司,	05007903,1,"31,717.24",食品業,25000,NT$201.52 萬元,NT$67.17 萬元,NT$33.59 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
連大興有限公司,80445899,1,"31,442.73",紡織業,25000,NT$193.28 萬元,NT$64.43 萬元,NT$32.21 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
長興材料工業股份有限公司,75339004,1,"31,334.93",石化業,25000,NT$190.05 萬元,NT$63.35 萬元,NT$31.67 萬元,"NT$4,245,158.00 萬元","NT$3,430,431.00 萬元","NT$149,210.00 萬元",0.00%,0.01%,0.13%
東齊染整股份有限公司,54796568,1,"30,654.32",紡織業,25000,NT$169.63 萬元,NT$56.54 萬元,NT$28.27 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
旭德科技股份有限公司,16638110,1,"30,641.43",電子業,25000,NT$169.24 萬元,NT$56.41 萬元,NT$28.21 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台豐印刷電路工業股份有限公司,11833698,1,"30,601.21",電子業,25000,NT$168.04 萬元,NT$56.01 萬元,NT$28.01 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
曜智實業股份有限公司,12617727,1,"30,520.60",紡織業,25000,NT$165.62 萬元,NT$55.21 萬元,NT$27.60 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
楠梓電子股份有限公司,76026851,1,"30,187.97",電子業,25000,NT$155.64 萬元,NT$51.88 萬元,NT$25.94 萬元,"NT$351,594.00 萬元","NT$379,084.00 萬元","NT$83,561.00 萬元",0.04%,0.04%,0.19%
白馬窯業股份有限公司,34258318,1,"29,800.23",非金屬製品加工業,25000,NT$144.01 萬元,NT$48.00 萬元,NT$24.00 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台亞半導體股份有限公司,47255947,1,"29,470.95",半導體業,25000,NT$134.13 萬元,NT$44.71 萬元,NT$22.35 萬元,"NT$397,228.00 萬元","NT$304,185.00 萬元","NT$30,390.00 萬元",0.03%,0.04%,0.44%
欣銓科技股份有限公司,70751779,1,"29,209.67",半導體業,25000,NT$126.29 萬元,NT$42.10 萬元,NT$21.05 萬元,"NT$1,405,224.00 萬元","NT$917,870.00 萬元","NT$274,626.00 萬元",0.01%,0.01%,0.05%
台灣史谷脫紙業股份有限公司,11820053,1,"29,187.48",造紙業,25000,NT$125.62 萬元,NT$41.87 萬元,NT$20.94 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
矽格聯測股份有限公司,84149456,1,"28,846.04",半導體業,25000,NT$115.38 萬元,NT$38.46 萬元,NT$19.23 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
豐年豐和企業股份有限公司,16635562,1,"28,841.94",食品業,25000,NT$115.26 萬元,NT$38.42 萬元,NT$19.21 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
欣建工業股份有限公司,28042430,1,"28,783.08",鋼鐵業,25000,NT$113.49 萬元,NT$37.83 萬元,NT$18.92 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
能元科技股份有限公司,16441469,1,"28,685.76",電池製造業,25000,NT$110.57 萬元,NT$36.86 萬元,NT$18.43 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
美商蘋果電子股份有限公司,54393468,2,"28,279.75",光電業,50000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
燁興企業股份有限公司,75992214,1,"28,088.52",鋼鐵業,25000,NT$92.66 萬元,NT$30.89 萬元,NT$15.44 萬元,"NT$501,515.00 萬元","NT$548,282.00 萬元","-NT$98,133.00 萬元",0.02%,0.02%,淨利為負值
台灣普利司通股份有限公司,43031502,1,"27,765.63",石化業,25000,NT$82.97 萬元,NT$27.66 萬元,NT$13.83 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
和大工業股份有限公司,52264848,1,"27,538.52",汽機車業,25000,NT$76.16 萬元,NT$25.39 萬元,NT$12.69 萬元,"NT$659,923.00 萬元","NT$545,813.00 萬元","NT$32,466.00 萬元",0.01%,0.01%,0.23%
廣達電腦股份有限公司,22822281,1,"27,465.66",電子業,25000,NT$73.97 萬元,NT$24.66 萬元,NT$12.33 萬元,"NT$108,561,105.00 萬元","NT$100,072,809.00 萬元","NT$4,048,859.00 萬元",0.00%,0.00%,0.00%
台灣紙業股份有限公司,11912102,1,"27,016.77",石化業,25000,NT$60.50 萬元,NT$20.17 萬元,NT$10.08 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
漢翔航空工業股份有限公司,97160544,1,"26,878.01",航空業,25000,NT$56.34 萬元,NT$18.78 萬元,NT$9.39 萬元,"NT$3,910,000.00 萬元","NT$3,474,205.00 萬元","NT$222,590.00 萬元",0.00%,0.00%,0.03%
建大工業股份有限公司,59619900,1,"26,817.59",石化業,25000,NT$54.53 萬元,NT$18.18 萬元,NT$9.09 萬元,"NT$3,444,368.00 萬元","NT$2,777,102.00 萬元","NT$88,098.00 萬元",0.00%,0.00%,0.06%
宏洲纖維工業股份有限公司,	07220710,1,"26,586.75",石化業,25000,NT$47.60 萬元,NT$15.87 萬元,NT$7.93 萬元,"NT$199,538.00 萬元","NT$207,421.00 萬元","-NT$13,279.00 萬元",0.02%,0.02%,淨利為負值
泓達化工股份有限公司,23418128,1,"26,362.13",石化業,25000,NT$40.86 萬元,NT$13.62 萬元,NT$6.81 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
建榮工業材料股份有限公司,86691377,1,"26,219.20",紡織業,25000,NT$36.58 萬元,NT$12.19 萬元,NT$6.10 萬元,"NT$123,215.00 萬元","NT$110,133.00 萬元","NT$2,494.00 萬元",0.03%,0.03%,1.47%
晉禾企業股份有限公司,88680066,1,"25,589.24",鋼鐵業,25000,NT$17.68 萬元,NT$5.89 萬元,NT$2.95 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
銓盟企業股份有限公司,23313356,1,"25,520.59",紡織業,25000,NT$15.62 萬元,NT$5.21 萬元,NT$2.60 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台鹽實業股份有限公司,89397503,1,"25,475.44",食品業,25000,NT$14.26 萬元,NT$4.75 萬元,NT$2.38 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
金元福包裝企業股份有限公司,34227006,1,"24,894.98",石化業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
東欣實業股份有限公司,89356756,1,"24,849.99",紡織業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
鉅輝鋼鐵股份有限公司,13079654,1,"24,460.97",鋼鐵業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台群工業股份有限公司,25049986,1,"24,341.61",紡織業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
東培工業股份有限公司,	07220508,1,"24,321.60",鋼鐵業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台灣華可貴股份有限公司,44883108,1,"23,882.25",紡織業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台灣湯淺電池股份有限公司,35878589,1,"23,711.45",電池製造業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
碁富食品股份有限公司,22360437,1,"23,488.83",食品業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
紘楷股份有限公司,70738116,1,"23,315.92",紡織業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
昇陽國際半導體股份有限公司,84149884,1,"23,176.43",半導體業,25000,免徵,免徵,免徵,"NT$332,770.00 萬元","NT$257,118.00 萬元","NT$31,199.00 萬元",無法計算,無法計算,無法計算
三芳化學工業股份有限公司,83387850,1,"22,860.41",石化業,25000,免徵,免徵,免徵,"NT$1,008,674.00 萬元","NT$756,101.00 萬元","NT$76,027.00 萬元",無法計算,無法計算,無法計算
和友紡織股份有限公司,35192807,1,"22,713.85",紡織業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
南帝化學工業股份有限公司,12209807,1,"21,690.09",石化業,25000,免徵,免徵,免徵,"NT$894,204.00 萬元","NT$684,593.00 萬元","NT$94,693.00 萬元",無法計算,無法計算,無法計算
遠東先進纖維股份有限公司,89392269,1,"21,529.51",石化業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
嘉聯益科技股份有限公司,86980046,1,"21,346.44",電子業,25000,免徵,免徵,免徵,"NT$983,458.00 萬元","NT$1,077,814.00 萬元","-NT$334,778.00 萬元",無法計算,無法計算,淨利為負值
春雨工廠股份有限公司,88187108,1,"21,093.65",鋼鐵業,25000,免徵,免徵,免徵,"NT$846,064.00 萬元","NT$714,158.00 萬元","NT$36,068.00 萬元",無法計算,無法計算,無法計算
上評資源循環股份有限公司,91004618,1,"21,031.50",造紙業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
古河銅箔股份有限公司,53372182,1,"20,753.19",銅製造業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
年興紡織股份有限公司,22266307,1,"20,256.36",紡織業,25000,免徵,免徵,免徵,"NT$635,882.00 萬元","NT$637,004.00 萬元","-NT$36,291.00 萬元",無法計算,無法計算,淨利為負值
大鐘印染股份有限公司,57002416,1,"19,942.85",紡織業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
巨大機械工業股份有限公司,56054251,1,"19,911.17",自行車業,25000,免徵,免徵,免徵,"NT$7,695,355.00 萬元","NT$5,998,025.00 萬元","NT$356,639.00 萬元",無法計算,無法計算,無法計算
元太科技工業股份有限公司,22099890,1,"19,565.89",光電業,25000,免徵,免徵,免徵,"NT$2,711,976.00 萬元","NT$1,266,328.00 萬元","NT$786,623.00 萬元",無法計算,無法計算,無法計算
香榮實業股份有限公司,13035951,1,"19,430.10",紡織業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
翔新企業股份有限公司,84570243,1,"19,025.85",紡織業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
中華凸版電子股份有限公司,16083358,1,"19,021.15",半導體業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
敦南科技股份有限公司,23528103,1,"18,619.83",半導體業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
亞太優勢微系統股份有限公司,70815339,1,"18,474.16",半導體業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
東明纖維工業股份有限公司,	07205416,1,"18,349.68",紡織業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
獻麒紡織工業股份有限公司,22474430,1,"17,962.08",紡織業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台灣半導體股份有限公司,34286449,1,"14,803.56",半導體業,25000,免徵,免徵,免徵,"NT$1,461,601.00 萬元","NT$1,012,335.00 萬元","NT$130,999.00 萬元",無法計算,無法計算,無法計算
大統新創股份有限公司,22267777,1,"13,793.74",紡織業,25000,免徵,免徵,免徵,"NT$65,522.00 萬元","NT$52,540.00 萬元","NT$4,935.00 萬元",無法計算,無法計算,無法計算
艾克爾先進科技股份有限公司,16847968,1,"11,570.77",半導體業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
可成科技股份有限公司,69905810,1,"11,239.77",鋁製造業,25000,免徵,免徵,免徵,"NT$1,807,388.00 萬元","NT$1,313,992.00 萬元","NT$915,155.00 萬元",無法計算,無法計算,無法計算
辛耘企業股份有限公司,30901647,1,"10,390.68",半導體業,25000,免徵,免徵,免徵,"NT$691,198.00 萬元","NT$470,586.00 萬元","NT$65,030.00 萬元",無法計算,無法計算,無法計算
晶成半導體股份有限公司,28114454,1,"7,234.61",半導體業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
新瑞倡企業股份有限公司,	07620770,1,"6,683.94",紡織業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台灣高技股份有限公司,22099343,1,"5,784.80",電子業,25000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算