證券代號,公司名稱,業別,2024年度總能源使用量,2023年度總能源使用量,2022年度總能源使用量,使用變化,2024營收,2023營收,2022營收,營收變化,2024能效,2023能效,2022能效,能效進步率
6505,台塑石化股份有限公司,石化業,"351,642,900,000.00","364,274,130,000.00","365,406,000,000.00","-13,763,100,000.00","663,823,047,000","712,576,194,000","848,048,496,000","-184,225,449,000",0.5297238497,0.5112072689,0.4308786605,22.94%
1328,台灣中油股份有限公司,石化業,"92,900,000,000.00","86,500,000,000.00",NA,#VALUE!,"1,097,341,659,000","1,103,468,528,000","1,221,856,842,000","-124,515,183,000",0.08465913896,0.07838918628,#VALUE!,缺能源
1303,南亞塑膠工業股份有限公司,石化業,"29,288,428,000.00","33,639,615,000.00","40,449,629,000.00","-11,161,201,000.00","259,608,483,000","259,755,344,000","355,183,300,000","-95,574,817,000",0.1128176848,0.1295049968,0.1138838144,-0.94%
2002,中國鋼鐵股份有限公司,鋼鐵業,"182,734,510,000.00","178,018,751,000.00","192,777,937,000.00","-10,043,427,000.00","360,535,714,000","363,326,498,000","449,567,488,000","-89,031,774,000",0.5068416329,0.4899690828,0.4288075587,18.20%
3711,日月光半導體製造股份有限公司,半導體業,"16,058,499,000.00","15,573,719,600.00","15,642,846,800.00","415,652,200.00","595,409,585,000","581,914,471,000","670,872,643,000","-75,463,058,000",0.02697050804,0.02676290138,0.02331716305,15.67%
1764,長春石油化學股份有限公司,石化業,"17,908,233,000","16,891,876,000.00","23,022,418,000.00","-5,114,185,000","107,254,036,000","105,738,621,000","180,887,684,000","-73,633,648,000",0.1669702481,0.1597512417,0.1272746574,31.19%
1766,大連化學工業股份有限公司,石化業,"12,661,558,000.00","9,816,423,000.00","19,306,063,000.00","-6,644,505,000.00","42,475,774,000","47,421,548,000","103,371,419,000","-60,895,645,000",0.2980889295,0.2070034281,0.1867640319,59.61%
1301,台灣塑膠工業股份有限公司,石化業,"59,255,668,000.00","64,108,651,000.00","59,495,248,000.00","-239,580,000.00","200,040,347,000","199,138,777,000","251,647,354,000","-51,607,007,000",0.2962185823,0.3219295205,0.2364231018,25.29%
2303,聯華電子股份有限公司,半導體業,"14,866,944,000.00",NA,NA,#VALUE!,"232,302,584,000","222,533,000,000","278,705,264,000","-46,402,680,000",0.06399818609,#VALUE!,#VALUE!,缺能源
1765,長春人造樹脂廠股份有限公司,石化業,"20,322,225,000.00","20,286,117,000.00","21,463,180,000.00","-1,140,955,000.00","117,123,175,000","110,232,768,000","150,279,920,000","-33,156,745,000",0.1735115617,0.184029825,0.142821343,21.49%
8046,南亞電路板股份有限公司,電子業,"2,089,047,310.00","2,059,959,040.00","1,787,638,510.00","301,408,800.00","32,283,331,000","42,252,578,000","64,646,836,000","-32,363,505,000",0.06470978196,0.04875345216,0.02765237436,134.01%
6770,力晶積成電子製造股份有限公司,半導體業,"5,449,380,000.00","4,608,904,000.00","4,713,292,000.00","736,088,000.00","44,725,710,000","44,022,552,000","76,086,619,000","-31,360,909,000",0.1218399887,0.1046941577,0.06194639822,96.69%
1326,台灣化學纖維股份有限公司,石化業,"81,022,173,000.00","84,778,240,000.00","82,137,006,000.00","-1,114,833,000.00","348,607,574,000","332,619,533,000","379,896,563,000","-31,288,989,000",0.2324165596,0.2548805214,0.2162088684,7.50%
3037,欣興電子股份有限公司,電子業,"7,522,402,000.00",NA,NA,#VALUE!,"115,373,282,000","104,036,151,000","140,489,172,000","-25,115,890,000",0.06520055484,#VALUE!,#VALUE!,缺能源
2408,南亞科技股份有限公司,半導體業,"3,223,083,600.00","3,085,480,800.00","2,994,703,200.00","228,380,400.00","34,131,667,000","29,892,306,000","56,952,275,000","-22,820,608,000",0.0944308873,0.1032198988,0.05258267909,79.59%
9921,巨大機械工業股份有限公司,其他,"1,476,826,647.00","1,444,154,886.00","1,590,824,774.00","-113,998,127.00","71,278,772,000","76,953,546,000","92,043,675,000","-20,764,903,000",0.02071902483,0.01876658011,0.01728336873,19.88%
1763,奇美實業股份有限公司,石化業,"6,119,777,000.00","6,856,675,000.00","6,387,681,000.00","-267,904,000.00","132,886,735,000","124,821,623,000","153,538,492,000","-20,651,757,000",0.04605258004,0.05493178854,0.04160312451,10.70%
2337,旺宏電子股份有限公司,半導體業,"2,037,130,000.00","1,962,022,000.00","1,867,660,000.00","169,470,000.00","25,883,475,000","27,623,608,000","43,487,454,000","-17,603,979,000",0.07870388346,0.0710269998,0.04294709918,83.26%
1304,台灣聚合化學品股份有限公司,石化業,"1,062,358,000.00","1,135,078,000.00","1,140,935,000.00","-78,577,000.00","51,008,156,000","52,264,762,000","66,437,122,000","-15,428,966,000",0.0208272183,0.021717845,0.01717315509,21.28%
1102,亞洲水泥股份有限公司,水泥業,"12,567,000,000.00","11,959,122,000.00","13,534,761,000.00","-967,761,000.00","76,297,459,000","80,182,799,000","90,340,503,000","-14,043,044,000",0.1647105967,0.1491482232,0.1498194116,9.94%
2014,中鴻鋼鐵股份有限公司,鋼鐵業,"2,939,034,000.00",NA,NA,#VALUE!,"30,461,521,000","37,764,208,000","44,503,494,000","-14,041,973,000",0.0964834947,#VALUE!,#VALUE!,缺能源
2344,華邦電子股份有限公司,半導體業,"2,927,142,000.00","2,951,263,000.00","2,807,177,000.00","119,965,000.00","81,609,768,000","75,006,078,000","94,529,790,000","-12,920,022,000",0.03586754468,0.03934698465,0.02969621534,20.78%
3576,聯合再生能源股份有限公司,光電業,"291,616,700.00","318,470,400.00","452,423,300.00","-160,806,600.00","5,784,135,000","12,516,227,000","18,382,051,000","-12,597,916,000",0.0504166483,0.02544460084,0.02461223179,104.84%
3189,景碩科技股份有限公司,電子業,"1,888,320,422.50","1,696,321,684,000.00","1,854,812,555.90","33,507,866.60","30,534,979,000","26,832,187,000","41,626,486,000","-11,091,507,000",0.06184122224,63.21965794,0.04455847068,38.79%
6239,力成科技股份有限公司,半導體業,"2,580,696,190.00","2,440,671,950.00","2,757,696,700.00","-177,000,510.00","73,315,042,000","70,440,945,000","83,926,735,000","-10,611,693,000",0.03520009154,0.03464848392,0.03285838178,7.13%
4919,新唐科技股份有限公司,半導體業,"269,280,000.00","268,349,000.00","267,811,000.00","1,469,000.00","31,923,290,000","35,348,149,000","41,872,426,000","-9,949,136,000",0.008435220806,0.007591599775,0.006395879713,31.89%
2449,京元電子股份有限公司,半導體業,"3,280,382,620.00","2,914,304,760.00","2,859,557,200.00","420,825,420.00","26,856,031,000","33,025,307,000","36,781,996,000","-9,925,965,000",0.1221469628,0.08824459255,0.07774339381,57.12%
2474,可成科技股份有限公司,非鋼鐵金屬業,"1,733,390,730.00","1,624,594,540.00","574,454,940.00","1,158,935,790.00","18,084,188,000","18,073,884,000","27,820,529,000","-9,736,341,000",0.09585117839,0.08988629893,0.02064859874,364.20%
2023,燁輝企業股份有限公司,鋼鐵業,"1,965,299,000.00","1,856,433,000.00","1,888,747,000.00","76,552,000.00","73,981,747,000","73,295,376,000","83,675,863,000","-9,694,116,000",0.02656464709,0.02532810528,0.02257218429,17.69%
6488,環球晶圓股份有限公司,半導體業,"1,173,798,000.00","1,100,992,000.00","1,179,768,000.00","-5,970,000.00","62,626,004,000","70,651,593,000","70,286,871,000","-7,660,867,000",0.01874298095,0.01558339951,0.01678504084,11.66%
5347,世界先進積體電路股份有限公司,半導體業,"3,643,612,000.00","3,513,268,800.00","3,501,936,000.00","141,676,000.00","44,054,762,000","38,272,570,000","51,694,310,000","-7,639,548,000",0.08270642797,0.09179599907,0.06774316167,22.09%
2208,台灣國際造船股份有限公司,其他,"174,026,000.00","215,572,000.00","205,768,000.00","-31,742,000.00","14,494,347,000","21,476,365,000","21,994,050,000","-7,499,703,000",0.01200647397,0.01003763905,0.009355621179,28.33%
6153,嘉聯益科技股份有限公司,電子業,"251,386,000.00","304,321,065.00","377,529,153.00","-126,143,153.00","7,282,327,000","9,834,580,000","14,742,461,000","-7,460,134,000",0.03452000988,0.03094398185,0.02560828569,34.80%
3481,群創光電股份有限公司,光電業,"17,575,614,000.00","18,960,319,000.00","19,302,932,000.00","-1,727,318,000.00","216,509,919,000","211,740,557,000","223,715,758,000","-7,205,839,000",0.08117694599,0.08954505112,0.08628329168,-5.92%
6116,瀚宇彩晶股份有限公司,光電業,"1,688,793,390.00","1,997,347,840.00","2,077,753,360.00","-388,959,970.00","9,964,484,000","12,352,965,000","17,050,760,000","-7,086,276,000",0.1694812687,0.1616897514,0.1218569354,39.08%
1305,華夏海灣塑膠股份有限公司,石化業,"3,583,018,000.00","3,988,900,000.00","4,055,542,000.00","-472,524,000.00","11,086,725,000","13,707,305,000","17,637,479,000","-6,550,754,000",0.3231809213,0.2910054165,0.2299388705,40.55%
1434,福懋興業股份有限公司,紡織業,"4,027,389,000.00","3,799,689,000.00",NA,#VALUE!,"28,715,705,000","28,501,509,000","34,722,655,000","-6,006,950,000",0.1402503961,0.1333153624,#VALUE!,缺能源
1909,榮成紙業股份有限公司,造紙業,"25,184,801,530.00","25,015,776,120,000.00","23,482,370,210.00","1,702,431,320.00","47,799,734,000","46,712,029,000","52,968,404,000","-5,168,670,000",0.5268816251,535.5317818,0.4433278792,18.85%
2049,上銀科技股份有限公司,其他,"961,430,000.00","914,050,000.00","1,055,762,000.00","-94,332,000.00","24,391,684,000","24,632,772,000","29,314,648,000","-4,922,964,000",0.0394163027,0.03710707021,0.03601482781,9.44%
1717,長興材料工業股份有限公司,石化業,"634,856,235.00","547,514,666.00","584,070,194.00","50,786,041.00","44,191,125,000","42,451,576,000","49,014,100,000","-4,822,975,000",0.01436614784,0.01289739316,0.01191637088,20.56%
1440,臺南紡織股份有限公司,石化業,"1,044,508,430.00","1,304,437,800.00","1,392,908,640.00","-348,400,210.00","17,190,251,000","19,445,212,000","21,968,232,000","-4,777,981,000",0.06076167416,0.06708272453,0.06340558676,-4.17%
6443,元晶太陽能科技股份有限公司,光電業,"349,256,700.00","389,972,400.00","372,222,100.00","-22,965,400.00","4,514,018,000","8,260,947,000","9,005,063,000","-4,491,045,000",0.07737157893,0.04720674276,0.04133475801,87.18%
2106,建大工業股份有限公司,石化業,"450,451,550.00","457,983,480.00","560,114,600.00","-109,663,050.00","34,202,669,000","34,443,676,000","38,617,881,000","-4,415,212,000",0.01317007015,0.01329659122,0.01450402211,-9.20%
2015,豐興鋼鐵股份有限公司,鋼鐵業,"4,885,410,030.00","4,844,568,510.00","4,978,413,920.00","-93,003,890.00","34,379,324,000","34,882,023,000","38,604,929,000","-4,225,605,000",0.142103144,0.1388843907,0.1289579867,10.19%
3532,台塑勝高科技股份有限公司,半導體業,"946,258,000.00","948,337,000.00","984,330,000.00","-38,072,000.00","12,421,635,000","14,876,233,000","16,392,965,000","-3,971,330,000",0.07617821647,0.06374846374,0.06004587944,26.87%
1444,力麗企業股份有限公司,石化業,"1,235,462,000.00","1,401,721,000.00","2,044,794,000.00","-809,332,000.00","8,269,877,000","8,149,113,000","12,237,226,000","-3,967,349,000",0.1493930321,0.1720090272,0.167096203,-10.59%
6182,合晶科技股份有限公司,半導體業,"484,619,880.00","463,293,920.00","525,667,780.00","-41,047,900.00","8,721,123,000","10,047,814,000","12,677,431,000","-3,956,308,000",0.05556851795,0.04610892678,0.04146485041,34.01%
2313,華通電腦股份有限公司,電子業,"1,323,932,700.00","1,239,880,500.00",NA,#VALUE!,"72,464,408,000","67,078,773,000","76,419,408,000","-3,955,000,000",0.01827010993,0.01848394722,#VALUE!,缺能源
1308,亞洲聚合股份有限公司,石化業,"778,500,000.00","805,655,000.00","810,478,000.00","-31,978,000.00","6,031,266,000","6,717,128,000","9,815,332,000","-3,784,066,000",0.1290773778,0.1199403971,0.08257265266,56.32%
6147,頎邦科技股份有限公司,半導體業,"1,105,777,063.20","1,061,529,730.50","1,101,287,345.00","4,489,718.20","20,337,566,000","20,056,388,000","24,010,157,000","-3,672,591,000",0.0543711604,0.0529272634,0.04586756117,18.54%
1722,台灣肥料股份有限公司,其他,"656,500,000.00","651,090,000.00","680,100,000.00","-23,600,000.00","11,873,258,000","15,014,788,000","15,052,251,000","-3,178,993,000",0.05529232162,0.04336324962,0.04518261089,22.38%
3707,漢磊科技股份有限公司,半導體業,"294,687,000.00","291,282,000.00","305,784,000.00","-11,097,000.00","5,816,920,000","7,080,216,000","8,879,881,000","-3,062,961,000",0.05066031508,0.0411402703,0.0344355966,47.12%
1480,東盟開發實業股份有限公司,鋼鐵業,"640,498,140.00",NA,NA,#VALUE!,"8,691,643,000","8,943,512,000","11,690,408,000","-2,998,765,000",0.07369126182,#VALUE!,#VALUE!,缺能源
2028,威致鋼鐵工業股份有限公司,鋼鐵業,"1,796,335,470.00","1,737,601,351.00","1,900,058,820.00","-103,723,350.00","10,196,132,000","10,484,173,000","13,123,335,000","-2,927,203,000",0.1761781301,0.1657356618,0.1447847533,21.68%
1905,中華紙漿股份有限公司,造紙業,"17,737,248,000.00",NA,NA,#VALUE!,"20,767,530,000","20,955,451,000","23,651,129,000","-2,883,599,000",0.8540855846,#VALUE!,#VALUE!,缺能源
1723,中鋼碳素化學股份有限公司,石化業,"1,149,300,000.00","1,134,566,000.00","1,161,590,000.00","-12,290,000.00","7,647,470,000","8,317,678,000","10,459,797,000","-2,812,327,000",0.1502849962,0.1364041743,0.1110528244,35.33%
1232,大統益股份有限公司,食品業,"1,019,269,000.00","1,007,286,000.00","1,061,319,000.00","-42,050,000.00","22,066,604,000","23,560,347,000","24,676,960,000","-2,610,356,000",0.04619056924,0.04275344502,0.04300849862,7.40%
2105,正新橡膠工業股份有限公司,石化業,"1,199,392,870.00","1,262,546,220.00","1,669,495,620.00","-470,102,750.00","96,247,057,000","96,201,313,000","98,622,877,000","-2,375,820,000",0.01246160566,0.01312400196,0.01692807664,-26.38%
1451,年興紡織股份有限公司,紡織業,"1,093,374,990.00","1,255,412,660.00","1,630,298,150.00","-536,923,160.00","6,420,661,000","6,358,816,000","8,695,169,000","-2,274,508,000",0.1702900979,0.1974286817,0.1874947054,-9.18%
2012,春雨工廠股份有限公司,鋼鐵業,"353,747,920.00","308,767,860.00","383,062,240.00","-29,314,320.00","9,165,105,000","8,460,641,000","11,049,641,000","-1,884,536,000",0.03859725775,0.03649461784,0.03466739236,11.34%
2035,唐榮鐵工廠股份有限公司,鋼鐵業,"953,693,854.80","819,574,700.00","1,003,690,880.00","-49,997,025.20","12,189,393,000","10,706,636,000","14,021,337,000","-1,831,944,000",0.07823965105,0.07654829211,0.07158310794,9.30%
2316,楠梓電子股份有限公司,電子業,"317,785,700.00","296,640,330.00","361,293,390.00","-43,507,690.00","3,332,053,000","3,515,939,000","5,132,715,000","-1,800,662,000",0.09537234252,0.0843701583,0.07039030805,35.49%
1312,國喬石油化學股份有限公司,石化業,"4,740,253,640.00","4,742,213,040.00","5,039,392,730.00","-299,139,090.00","16,418,417,000","15,719,189,000","18,176,626,000","-1,758,209,000",0.288715632,0.3016830601,0.2772457732,4.14%
1109,信大水泥股份有限公司,水泥業,"269,285,820.00","318,485,770.00","287,085,640.00","-17,799,820.00","4,656,290,000","6,259,864,000","6,388,338,000","-1,732,048,000",0.05783269942,0.05087742641,0.04493901857,28.69%
1708,東南實業股份有限公司,石化業,"374,880,085.60","328,117,023.10","343,523,764.30","31,356,321.30","6,366,238,000","5,879,183,000","8,025,189,000","-1,658,951,000",0.0588856536,0.05580996936,0.04280569147,37.57%
8105,凌巨科技股份有限公司,光電業,"879,046,361,300.00",NA,NA,#VALUE!,"8,767,126,000","9,042,115,000","10,414,370,000","-1,647,244,000",100.2661946,#VALUE!,#VALUE!,缺能源
8110,華東科技股份有限公司,半導體業,"594,495,570.00","560,292,810.00","723,250,110.00","-128,754,540.00","7,859,456,000","7,276,069,000","9,506,348,000","-1,646,892,000",0.07564080389,0.0770048786,0.07608075257,-0.58%
1536,和大工業股份有限公司,汽車業,"290,502,000.00","317,052,000.00","341,528,400.00","-51,026,400.00","5,774,470,000","6,599,230,000","7,339,165,000","-1,564,695,000",0.05030799363,0.04804378693,0.04653504861,8.11%
1460,宏遠興業股份有限公司,紡織業,"907,360,890.20","912,739,359.80","1,453,193,840.00","-545,832,949.80","8,263,751,000","7,838,642,000","9,807,785,000","-1,544,034,000",0.1098001247,0.116441006,0.1481673834,-25.89%
8131,福懋科技股份有限公司,半導體業,"861,746,000.00","827,165,000.00","949,027,000.00","-87,281,000.00","8,932,564,000","7,648,594,000","10,433,443,000","-1,500,879,000",0.09647241262,0.10814602,0.09096009821,6.06%
1310,台灣苯乙烯工業股份有限公司,石化業,"2,684,883,000.00","2,370,779,000.00","2,773,453,000.00","-88,570,000.00","11,422,940,000","9,541,182,000","12,853,960,000","-1,431,020,000",0.23504308,0.2484785428,0.2157664253,8.93%
3264,欣銓科技股份有限公司,半導體業,"785,715,000.00","835,529,000.00","808,308,000.00","-22,593,000.00","13,100,592,000","14,052,235,000","14,499,155,000","-1,398,563,000",0.05997553393,0.05945879784,0.05574862811,7.58%
1802,台灣玻璃工業股份有限公司,玻璃業,"5,243,262,000.00","5,652,284,000.00","6,701,883,000.00","-1,458,621,000.00","42,502,810,000","45,619,038,000","43,859,066,000","-1,356,256,000",0.1233627141,0.1239018675,0.152804964,-19.27%
2038,海光企業股份有限公司,鋼鐵業,"1,589,502,790.00","1,573,487,750.00","1,624,900,740.00","-35,397,950.00","9,724,332,000","9,365,089,000","11,044,978,000","-1,320,646,000",0.1634562446,0.1680163157,0.1471167023,11.11%
2355,敬鵬工業股份有限公司,電子業,"515,141,880.00","651,779,960.00","701,926,980.00","-186,785,100.00","16,355,210,000","16,749,415,000","17,614,328,000","-1,259,118,000",0.03149711193,0.03891359549,0.03984977343,-20.96%
1907,永豐餘工業用紙股份有限公司,造紙業,"21,360,000,000.00","36,232,511,000.00","36,451,408,000.00","-15,091,408,000.00","78,413,139,000","73,867,374,000","79,635,878,000","-1,222,739,000",0.2724033277,0.490507636,0.4577259511,-40.49%
1605,華新麗華股份有限公司,鋼鐵業,"10,107,910,000.00","10,300,000,000.00","8,380,425,000.00","1,727,485,000.00","179,318,340,000","189,839,626,000","180,400,719,000","-1,082,379,000",0.05636852315,0.05425632265,0.04645449889,21.34%
4989,李長榮科技股份有限公司,非鋼鐵金屬業,"415,951,460.00","438,553,410.00","459,782,710.00","-43,831,250.00","2,993,614,000","3,557,969,000","4,047,957,000","-1,054,343,000",0.1389462569,0.1232594803,0.1135838918,22.33%
1215,台灣卜蜂企業股份有限公司,食品業,"615,186,420.00","567,831,220.00","583,600,550.00","31,585,870.00","27,957,258,000","29,159,749,000","28,959,220,000","-1,001,962,000",0.02200453349,0.01947311755,0.02015249547,9.19%
3049,精金科技股份有限公司,光電業,"341,845,490.00","310,298,390.00","334,895,100.00","6,950,390.00","1,466,434,000","1,331,826,000","2,405,963,000","-939,529,000",0.2331134507,0.2329871845,0.1391937864,67.47%
